show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s1756,Movie,Digs & Discoveries: Mines of Mystery,Joey So,"Joseph May, Flaminia Cinque, Anna Francolini, Teresa Gallagher, Montserrat Lombard, Antonio Magro, Vincenzo Nicoli",N.I.L,15-Mar-20,2019,TV-Y,23 min,Children & Family Movies
s1757,Movie,Dil,Indra Kumar,"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",India,12-Oct-20,1990,TV-14,165 min,"Comedies, Dramas, International Movies"
s1758,Movie,Dil Chahta Hai,Farhan Akhtar,"Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, Sonali Kulkarni, Dimple Kapadia, Ayub Khan, Rajat Kapoor, Suhasini Mulay, Ahmed Khan",India,15-Dec-19,2001,TV-14,185 min,"Comedies, Dramas, International Movies"
s1759,Movie,Dil Dhadakne Do,Zoya Akhtar,"Anil Kapoor, Priyanka Chopra, Ranveer Singh, Anushka Sharma, Farhan Akhtar, Shefali Shah, Rahul Bose, Parmeet Sethi, Vikrant Massey, Zarina Wahab, Aamir Khan",India,15-Dec-19,2015,TV-MA,174 min,"Comedies, Dramas, International Movies"
s1760,Movie,Dil Hai Tumhaara,Kundan Shah,"Rekha, Preity Zinta, Mahima Chaudhry, Arjun Rampal, Jimmy Shergill, Alok Nath, Dilip Joshi, Govind Namdeo",India,1-Apr-18,2002,TV-14,176 min,"Dramas, International Movies, Music & Musicals"
s1761,Movie,Dil Se,Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity Zinta, Raghuvir Yadav, Zohra Sehgal, Sabyasachi Chakraborty, Piyush Mishra, Krishnakant, Aditya Srivastava",India,1-Mar-18,1998,TV-14,166 min,"Dramas, International Movies, Romantic Movies"
s1762,Movie,Dil Vil Pyaar Vyaar,Manjeet Maan,"Gurdas Maan, Neeru Bajwa, Jassi Gill, Rajiv Thakur, Khushdeed Maan, Manav Vij, Raj Jhinger, Shruti Sodhi, Meher Vij",India,1-Oct-18,2014,TV-PG,145 min,"International Movies, Music & Musicals, Romantic Movies"
s1763,Movie,Dilan 1990,"Fajar Bustomi, Pidi Baiq","Vanesha Prescilla, Iqbaal Ramadhan, Debo Andryos, Giulio Parengkuan, Omara Esteghlal, Yoriko Angeline, Zulfa Maharani, Brandon Salim",Indonesia,14-May-20,2018,TV-14,109 min,"Dramas, International Movies, Romantic Movies"
s1764,Movie,Dilan 1991,"Fajar Bustomi, Pidi Baiq","Iqbaal Ramadhan, Vanesha Prescilla, Ira Wibowo, Bucek Depp, Happy Salma, Farhan, Maudy Koesnaedi, Jerome Kurnia",Indonesia,14-May-20,2019,TV-14,118 min,"Dramas, International Movies, Romantic Movies"
s1765,Movie,Dilwale,Rohit Shetty,"Shah Rukh Khan, Kajol, Kriti Sanon, Kabir Bedi, Varun Dhawan, Boman Irani, Johnny Lever, Varun Sharma, Sanjay Mishra, Vinod Khanna, Mukesh Tiwari, Pankaj Tripathi, Shawar Ali",India,1-Feb-17,2015,TV-PG,154 min,"Action & Adventure, Dramas, International Movies"
s1767,Movie,Dinner for Schmucks,Jay Roach,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement, Jeff Dunham, Bruce Greenwood, Ron Livingston, Chris O'Dowd, Lucy Punch, Stephanie Szostak, David Walliams, Larry Wilmore",United States,1-Jan-20,2010,PG-13,115 min,Comedies
s1779,Movie,Disconnect,"David 'Tosh' Gitonga, Michael Jones","Brenda Wairimu, Nick Mutuma, Catherine Kamau, Pascal Tokodi, Patricia Kihoro, Pierra Makena, Bridget Shighadi, Brian Ogola, Illya Frank, Aseem Sharma, Arthur Sanya, Justin Mirichii, Maqbul Mohammed",Kenya,16-Oct-20,2018,TV-MA,107 min,"Comedies, International Movies, Romantic Movies"
s1780,Movie,Discovering Bigfoot,Todd Standing,Todd Standing,United States,15-Dec-17,2017,TV-MA,111 min,Documentaries
s1783,Movie,Dismissed,Benjamin Arfmann,"Kent Osborne, Dylan Sprouse, Rae Gray, Alycia Delmore, Robert Longstreet, Chris Bauer, Randall Park, Mitchell Edwards, Victoria Zeutzius, Leslie Thurston, Matthew J. Evans",United States,19-Feb-18,2017,TV-14,87 min,Thrillers
s1784,Movie,District 9,Neill Blomkamp,"Sharlto Copley, Jason Cope, David James, Vanessa Haywood, Mandla Gaduka, Kenneth Nkosi, Eugene Khumbanyiwa, Louis Minnaar, William Allen Young, Nathalie Boltt","South Africa, United States, New Zealand, Canada",4-Nov-19,2009,R,112 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy"
s1786,Movie,Divines,Houda Benyamina,"Dborah Lukumuena, Jisca Kalvanda, Kvin Mischel, Majdouline Idrissi, Oulaya Amamra, Yasin Houicha","France, Qatar",18-Nov-16,2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies"
s1787,Movie,DJ Cinderella,Bruno Garotti,"Masa Silva, Filipe Bragana, Fernanda Paes Leme, Miriam Freeland, Marcelo Valle, Elisa Pinheiro, Srgio Malheiros, Giovanna Grigio, Brbara Maia, Letcia Pedro, Kiria Malheiros, Leo Cidade, Matheus Costa, Isabel Fillardis, Selma Lopes",Brazil,14-Jun-19,2019,TV-PG,95 min,"Children & Family Movies, Comedies"
s1788,Movie,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Escalante Lundy, Don Johnson",United States,25-Apr-20,2012,R,165 min,"Action & Adventure, Dramas"
s1789,Movie,DNA,Mawenn,"Mawenn, Fanny Ardant, Louis Garrel, Dylan Robert, Marine Vacth, Caroline Chaniolleau, Alain Franon, Florent Lacger, Henri-Nol Tabary, Omar Marwan","France, Algeria",26-Dec-20,2020,TV-MA,91 min,"Dramas, International Movies"
s1791,Movie,Do Dooni Chaar,Habib Faisal,"Rishi Kapoor, Neetu Singh, Aditi Vasudev, Archit Krishna, Akhilendra Mishra, Natasha Rastogi, Manoj Bakshi, Supriya Shukla",India,1-Nov-18,2010,TV-PG,106 min,"Comedies, International Movies"
s1792,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Deepti Naval,"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta, Suhaas Khandke, Nassar Abdulla, Saurabh Dubey, Usha Jadhav, Ashwin Kaushal, Milind Soman",India,22-Sep-19,2009,TV-MA,121 min,"Dramas, Independent Movies, International Movies"
s1796,Movie,Dog Eat Dog,Paul Schrader,"Nicolas Cage, Willem Dafoe, Christopher Matthew Cook, Omar J. Dorsey, Louisa Krause, Melissa Bolona, Reynaldo Gallegos",United States,31-Dec-16,2016,TV-MA,93 min,"Dramas, Thrillers"
s1799,Movie,Dolemite Is My Name,Craig Brewer,"Eddie Murphy, Wesley Snipes, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Kodi Smit-McPhee",United States,25-Oct-19,2019,R,118 min,"Comedies, Dramas"
s1801,Movie,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,"Bhumi Pednekar, Konkona Sen Sharma, Vikrant Massey, Amol Parashar, Aamir Bashir, Karan Kundra, Kalp Shah, Hearty Singh, Neelima Azim, Kubbra Sait",India,18-Sep-20,2020,TV-MA,120 min,"Dramas, Independent Movies, International Movies"
s1802,Movie,Dolly Parton: Here I Am,Francis Whately,Dolly Parton,United Kingdom,6-Oct-20,2019,TV-14,90 min,"Documentaries, Music & Musicals"
s1804,Movie,Dolly Partons Christmas on the Square,Debbie Allen,"Dolly Parton, Christine Baranski, Treat Williams, Jenifer Lewis, Josh Segarra, Jeanine Mason, Mary Lane Haskell",United States,22-Nov-20,2020,TV-PG,99 min,"Children & Family Movies, Music & Musicals"
s1805,Movie,Dolphin Kick,Philip Marlatt,"Axle McCoy, Travis McCoy, Tyler Jade Nixon, Alexis Louder, DeVaughn Gow, LaVaughn Hamilton, Maya Simmons, Quddus Newton, Jordan Padreira, Derek Lee Nixon",United States,5-Jun-19,2019,TV-PG,90 min,Children & Family Movies
s1806,Movie,Dolphin Tale 2,Charles Martin Smith,"Morgan Freeman, Ashley Judd, Harry Connick Jr., Kris Kristofferson, Nathan Gamble, Austin Stowell, Juliana Harkavy, Charles Martin Smith, Austin Highsmith, Cozi Zuehlsdorff",United States,25-Feb-19,2014,PG,107 min,"Children & Family Movies, Dramas"
s1807,Movie,Domino,Brian De Palma,"Nikolaj Coster-Waldau, Carice van Houten, Eriq Ebouaney, Guy Pearce, Mohammed Azaay, Sren Malling, Paprika Steen, Helena Kaittani","Denmark, France, Belgium, Italy, Netherlands, United States, United Kingdom",28-Sep-19,2019,R,89 min,"International Movies, Thrillers"
s1808,Movie,Don,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra, Arjun Rampal, Isha Koppikar, Kareena Kapoor, Boman Irani, Om Puri, Pavan Malhotra",India,15-Dec-19,2006,TV-14,169 min,"Action & Adventure, International Movies"
s1809,Movie,Don 2,Farhan Akhtar,"Shah Rukh Khan, Priyanka Chopra, Boman Irani, Lara Dutta, Kunal Kapoor, Om Puri, Alyy Khan, Nawab Shah","India, Germany",15-Dec-19,2011,TV-14,148 min,"Action & Adventure, International Movies, Music & Musicals"
s1810,Movie,Don Quixote: The Ingenious Gentleman of La Mancha,"Mahin Ibrahim, Austin Kolodney, Will Lowell, David Beier, Dave Dorsey, Xu Zhang, Alana Waksman, Jon YonKondy, Drue Metz, Brandon Somerhalder","Carmen Argenziano, Horatio Sanz, Luis Guzman, Vera Cherny, Lorena McGregor, Reinaldo Zavarce, Jacquie Barnbrook, Anthony Skordi, Lin Shaye, James Franco",United States,5-Jan-18,2015,TV-14,83 min,"Comedies, Independent Movies"
s1811,Movie,Don Verdean,Jared Hess,"Sam Rockwell, Amy Ryan, Will Forte, Danny McBride, Jemaine Clement, Leslie Bibb, Steve Park, Sky Elobar, P.J. Boudousqu, Yaniv Moyal",United States,1-Mar-20,2015,PG-13,96 min,Comedies
s1812,Movie,Don't Be Afraid of the Dark,Troy Nixey,"Katie Holmes, Guy Pearce, Bailee Madison, Jack Thompson, Garry McDonald, Alan Dale, Julia Blake, Edwina Ritchard, Emilia Burns, Guillermo del Toro","United States, Australia, Mexico",2-Nov-19,2010,R,99 min,Horror Movies
s1813,Movie,Don't Crack Under Pressure,Thierry Donard,"Davide Carrera, Jesse Richman, Loic Collomb-Patton, Wille Lindberg, Matt Annetts",France,12-Jun-20,2015,TV-MA,95 min,"Action & Adventure, Documentaries, International Movies"
s1814,Movie,Don't Crack Under Pressure II,Thierry Donard,"Davide Carrera, Eric Duguil, Jesse Richman, Richie Jackson, Loic Collomb-Patton, Wille Lindberg, Matt Annetts",France,12-Jun-20,2016,TV-MA,88 min,"Action & Adventure, Documentaries, International Movies"
s1815,Movie,Don't Crack Under Pressure III,Thierry Donard,"Temarii Buillard, Davide Carrera, Jesse Richman, Loic Collomb-Patton, Wille Lindberg, Matt Annetts",France,12-Jun-20,2017,TV-14,94 min,"Action & Adventure, Documentaries, International Movies"
s1817,Movie,Don't Go Breaking My Heart,Johnnie To,"Louis Koo, Gao Yuanyuan, Daniel Wu",Hong Kong,1-Dec-18,2011,TV-PG,115 min,"Comedies, International Movies, Romantic Movies"
s1818,Movie,Don't Go Breaking My Heart 2,Johnnie To,"Louis Koo, Gao Yuanyuan, Miriam Chin Wah Yeung, Vic Chou, Daniel Wu","Hong Kong, China",1-Dec-18,2014,TV-14,113 min,"Comedies, International Movies, Romantic Movies"
s1819,Movie,Don't Knock Twice,Caradog W. James,"Katee Sackhoff, Lucy Boynton, Richard Mylan, Nick Moran, Pascale Wilson, Javier Botet, Pooneh Hajimohammadi, Sarah Buckland",United Kingdom,8-Feb-19,2016,R,93 min,"Horror Movies, International Movies"
s1820,Movie,Don't Look Down,Daniel Gordon,Richard Branson,United Kingdom,1-Apr-17,2016,TV-MA,93 min,"Documentaries, International Movies"
s1821,Movie,Don't Think Twice,Mike Birbiglia,"Keegan-Michael Key, Gillian Jacobs, Mike Birbiglia, Kate Micucci, Chris Gethard, Richard Masur, Tami Sagher, Erin Darke",United States,1-May-17,2016,R,92 min,"Comedies, Dramas, Independent Movies"
s1822,Movie,Dont Listen,ngel Gmez Hernndez,"Rodolfo Sancho, Ana Fernndez, Ramn Barea, Beln Fabra, Lucas Blas",Spain,27-Nov-20,2020,TV-MA,98 min,"Horror Movies, International Movies"
s1823,Movie,Donald Glover: Weirdo,"Shannon Hartman, Michelle Caputo",Donald Glover,United States,19-Nov-16,2012,TV-MA,65 min,Stand-Up Comedy
s1824,Movie,Donnie Brasco,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby, James Russo, Anne Heche, Zeljko Ivanek, Gerry Becker, Robert Miano, Zach Grenier",United States,1-Jan-20,1997,R,127 min,"Dramas, Thrillers"
s1825,Movie,Doom,Andrzej Bartkowiak,"Karl Urban, Rosamund Pike, Dwayne Johnson, Deobia Oparei, Ben Daniels, Razaaq Adoti, Richard Brake, Dexter Fletcher, Al Weaver, Brian Steele","United Kingdom, Czech Republic, Germany, United States",1-Nov-20,2005,R,105 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
s1826,Movie,Doom: Annihilation,Tony Giglio,"Amy Manson, Dominic Mafham, Luke Allen-Gale, James Weber Brown, Clayton Adams, Nina Bergman, Amer Chadha-Patel, Gavin Brocker, Chidi Ajufo, Hari Dhillon, Katrina Nare",United States,25-Dec-19,2019,R,97 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
s1828,Movie,Door Ke Darshan,Gagan Puri,"Dolly Ahluwalia, Manu Rishi Chadha, Mahie Gill, Shardul Rana, Archita Sharma, Rajesh Sharma, Supriya Shukla, Mehak Manwani",India,25-Jul-20,2020,TV-14,114 min,"Comedies, International Movies"
s1830,Movie,Dorasaani,KVR Mahendra,"Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore",India,20-Nov-19,2019,TV-14,134 min,"Dramas, International Movies, Romantic Movies"
s1832,Movie,Dostana,Tarun Mansukhani,"Abhishek Bachchan, John Abraham, Priyanka Chopra, Bobby Deol, Kiron Kher, Sushmita Mukherjee, Shrey Bawa, Boman Irani","India, United States",1-Apr-20,2008,TV-14,142 min,"Comedies, Dramas, International Movies"
s1833,Movie,Double Dad,Cris D'Amato,"Maisa Silva, Eduardo Moscovis, Marcelo Mdici, Laila Zaid, Pedro Ottoni, Rayana Diniz, Caio Vegatti, Faf de Belm, Thaynara Og, Roberto Bonfim",Brazil,15-Jan-21,2020,TV-G,105 min,"Children & Family Movies, Comedies, Dramas"
s1834,Movie,Double Jeopardy,Bruce Beresford,"Tommy Lee Jones, Ashley Judd, Bruce Greenwood, Annabeth Gish, Roma Maffia, Jay Brazeau, Michael Gaston, Daniel Lapaine","United States, Germany, Canada",1-Jul-20,1999,R,105 min,Thrillers
s1835,Movie,Double World,Teddy Chan,"Henry Lau, Peter Ho, Lin Chenhan, Jiang Luxia, Ming Hu, Him Law, Shi Shi, Mark Cheng, Wang Ziyi, Xu Minghu",China,25-Jul-20,2020,TV-14,110 min,"Action & Adventure, International Movies"
s1837,Movie,Doubt,John Patrick Shanley,"Meryl Streep, Philip Seymour Hoffman, Amy Adams, Viola Davis, Alice Drummond, Audrie Neenan, Susan Blommaert, Carrie Preston, Lydia Jordan, Lloyd Clay Brown",United States,7-Mar-19,2008,PG-13,104 min,"Dramas, Faith & Spirituality"
s1838,Movie,Dovlatov,Aleksey German,"Milan Maric, Danila Kozlovsky, Helena Sujecka, Artur Beschastny, Anton Shagin, Svetlana Khodchenkova, Elena Lyadova, Piotr Gasowski, Eva Gerr, Hanna Sleszynska","Russia, Poland, Serbia",26-Oct-18,2018,PG-13,126 min,"Dramas, International Movies"
s1841,Movie,Dr Jason Leong Hashtag Blessed,Kubhaer T. Jethwani,Jason Leong,N.I.L,16-Sep-20,2018,TV-MA,69 min,Stand-Up Comedy
s1842,Movie,Dr. Seuss' The Cat in the Hat,Bo Welch,"Mike Myers, Alec Baldwin, Kelly Preston, Dakota Fanning, Spencer Breslin, Amy Hill, Sean Hayes, Dan Castellaneta",United States,1-May-19,2003,PG,82 min,"Children & Family Movies, Comedies"
s1843,Movie,Dr. Seuss' The Grinch,"Scott Mosier, Yarrow Cheney","Benedict Cumberbatch, Cameron Seely, Rashida Jones, Pharrell Williams, Kenan Thompson, Angela Lansbury","France, China, Japan, United States",5-Jun-19,2018,PG,86 min,"Children & Family Movies, Comedies"
s1844,Movie,Dr. Seuss' The Lorax,"Chris Renaud, Kyle Balda","Danny DeVito, Ed Helms, Taylor Swift, Zac Efron, Betty White, Rob Riggle, Jenny Slate, Nasim Pedrad, Joel Swetow, Michael Beattie, Stephen Tobolowsky","United States, France",7-Jul-20,2012,PG,86 min,Children & Family Movies
s1847,Movie,Dragon Quest Your Story,"Takashi Yamazaki, Ryuichi Yagi, Makoto Hanafusa","Takeru Sato, Kasumi Arimura, Haru, Kentaro Sakaguchi, Takayuki Yamada, Kendo Kobayashi, Ken Yasuda, Arata Furuta, Suzuki Matsuo, Koichi Yamadera, Arata Iura, Chikako Kaku, Kotaro Yoshida",Japan,13-Feb-20,2019,TV-PG,103 min,"Action & Adventure, Anime Features, Children & Family Movies"
s1848,Movie,Dragon Tiger Gate,Wilson Yip,"Donnie Yen, Nicholas Tse, Shawn Yue, Dong Jie, Li Xiaoran, Yuen Wah, Chen Kuan Tai, Xing Yu, Vincent Sze, Tommy Yuen","Hong Kong, China",27-Oct-18,2006,TV-14,94 min,"Action & Adventure, International Movies"
s1850,Movie,Dragonheart,Rob Cohen,"Sean Connery, Dennis Quaid, David Thewlis, Pete Postlethwaite, Dina Meyer, Jason Isaacs, Brian Thompson, Julie Christie",United States,1-Jan-20,1996,PG-13,103 min,"Action & Adventure, Sci-Fi & Fantasy"
s1851,Movie,Dragonheart 3: The Sorcerer,Colin Teague,"Julian Morris, Tamzin Merchant, Ben Kingsley, Jassa Ahluwalia, Jonjo O'Neill, Dominic Mafham, Roger Ashton-Griffiths, Jake Curran, Duncan Preston, Ozama Oancea",United States,1-Jan-20,2015,PG-13,97 min,"Action & Adventure, Sci-Fi & Fantasy"
s1852,Movie,Dragonheart: A New Beginning,Doug Lefler,"Christopher Masterson, Harry Van Gorkum, Rona Figueroa, Matt Hickey, Henry O, Tom Burke, Robby Benson, Ken Shorter, John Woodnutt, Lubomir Misak",United States,1-Jan-20,2000,PG,84 min,"Action & Adventure, Sci-Fi & Fantasy"
s1853,Movie,Dragonheart: Battle for the Heartfire,Patrik Syversen,"Tom Rhys Harries, Jessamine-Bliss Bell, Patrick Stewart, Andr Eriksen, Richard Cordery, Martin Hutson, Turlough Convery, Delroy Brown, Tamzin Merchant",United States,13-Jun-17,2017,PG-13,98 min,"Action & Adventure, Sci-Fi & Fantasy"
s1854,Movie,Dragonheart: Vengeance,Ivan Silvestrini,"Joseph Millson, Jack Kane, Helena Bonham Carter, Arturo Muselli, Carolina Carlsson, Tam Williams, Richard Ashton, Ross O'Hennessy, Cameron Jack, Fabienne Piolini-Castle",United States,4-Feb-20,2020,PG-13,97 min,"Action & Adventure, Sci-Fi & Fantasy"
s1856,Movie,Dragons: Dawn of the Dragon Racers,"Elaine Bogan, John Sanford","Jay Baruchel, America Ferrera, Zack Pearlman, Christopher Mintz-Plasse, T.J. Miller, Andree Vermeulen",United States,16-Dec-18,2014,TV-PG,27 min,"Children & Family Movies, Comedies"
s1859,Movie,Dragons: Rescue Riders: Hunt for the Golden Dragon,"TJ Sullivan, Greg Rankin","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Jeff Bennett, Grey Griffin, Mary Elizabeth McGlynn",United States,27-Mar-20,2020,TV-Y,46 min,"Children & Family Movies, Comedies"
s1860,Movie,Dragons: Rescue Riders: Huttsgalor Holiday,"Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Roshon Fegan, Grey Griffin, Brad Grusnick, Sam Lavagnino, John C. McGinley, Roger Craig Smith",United States,24-Nov-20,2020,TV-Y,46 min,"Children & Family Movies, Comedies"
s1861,Movie,Dragons: Rescue Riders: Secrets of the Songwing,"Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Rene Elise Goldsberry",United States,24-Jul-20,2020,TV-Y,46 min,"Children & Family Movies, Comedies"
s1863,Movie,Dream Big: Engineering Our World,Greg MacGillivray,Jeff Bridges,United States,1-Jul-18,2017,TV-G,42 min,Documentaries
s1866,Movie,DreamKiller,Andrew Jenks,"Bill Ferguson, Ryan Ferguson",United States,20-Nov-19,2015,TV-MA,109 min,Documentaries
s1875,Movie,Dries,Reiner Holzemer,Dries Van Noten,"Germany, Belgium",1-Jan-18,2017,TV-PG,89 min,"Documentaries, International Movies"
s1877,Movie,Drink Drank Drunk,Yeung Yat-Tak,"Carlos Chan, Ken Hung, Deep Ng, Michelle Wai, Yee Tong, Felix Lok, Kin-Yan Lee",Hong Kong,24-Aug-19,2016,TV-MA,92 min,"Comedies, International Movies"
s1878,Movie,Drishyam,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor, Ishita Dutta, Mrunal Jadhav, Prasanna Ketkar, Yogesh Sonam, Prathamesh Parab, Rishabh Chaddha",India,5-Jul-20,2015,TV-14,162 min,"Dramas, International Movies, Thrillers"
s1879,Movie,Drive,Tarun Mansukhani,"Jacqueline Fernandez, Sushant Singh Rajput, Boman Irani, Pankaj Tripathi, Vikramjeet Virk, Sapna Pabbi, Vibha Chhibber, Kaustubh Kumar",India,1-Nov-19,2019,TV-14,119 min,"Action & Adventure, International Movies"
s1885,Movie,Drunk Parents,Fred Wolf,"Alec Baldwin, Salma Hayek, Jim Gaffigan, Joe Manganiello, Treat Williams, Ben Platt, Aasif Mandvi, Natalia Cigliuti",United States,18-Aug-20,2019,R,97 min,Comedies
s1886,Movie,Dry Martina,Che Sandoval,"Antonella Costa, Patricio Contreras, Geraldine Neary, Pedro Campos, lvaro Espinosa","Chile, Argentina",11-May-19,2018,TV-MA,100 min,"Dramas, Independent Movies, International Movies"
s1887,Movie,DTC Yukemuri Junjo Hen From High & Low,Norihisa Hiranuma,"Kenjiro Yamashita, Kanta Sato, Taiki Sato, Masayasu Yagi, Kousei Amano, Miu Arai, Taro Suruga, Yuko Fueki, Tomoki Hirose, Ryo Matsuda, Masaru Mizuno, Shunsuke Tanaka, Fumihiko Tachiki, Eri Murakawa, Katsuya Kobayashi",Japan,20-Sep-20,2018,TV-PG,102 min,"Dramas, International Movies"
s1888,Movie,Duck Butter,Miguel Arteta,"Alia Shawkat, Laia Costa, Mae Whitman, Hong Chau, Kate Berlant, Lindsay Burdge, Kumail Nanjiani, Mark Duplass, Jay Duplass, Jenny O'Hara",United States,1-Jul-18,2018,TV-MA,94 min,"Dramas, Independent Movies, LGBTQ Movies"
s1889,Movie,Duck Duck Goose,Chris Jenkins,"Jim Gaffigan, Zendaya, Lance Lim, Greg Proops, Reggie Watts, Carl Reiner, Jennifer Grey, Stephen Fry, Diedrich Bader, Natasha Leggero, Craig Ferguson, Rick Overton","China, United States, United Kingdom",20-Jul-18,2018,PG,92 min,"Children & Family Movies, Comedies"
s1890,Movie,Dude,Olivia Milch,"Lucy Hale, Kathryn Prescott, Alexandra Shipp, Awkwafina, Alex Wolff, Brooke Smith, Jerry MacKinnon, Ronen Rubenstein, Satya Bhabha, Sydney Lucas",United States,20-Apr-18,2018,TV-MA,97 min,"Comedies, Dramas, Independent Movies"
s1892,Movie,Dukhtar,Afia Nathaniel,"Samiya Mumtaz, Mohib Mirza, Saleha Aref, Asif Khan, Adnan Shah, Ajab Gul, Abdullah Jan, Samina Ahmad, Omair Rana, Zeeshan Shafa","Pakistan, Norway, United States",1-Sep-16,2014,TV-14,93 min,"Dramas, Independent Movies, International Movies"
s1893,Movie,Dum,Eeshwar Nivas,"Vivek Oberoi, Diya Mirza, Atul Kulkarni, Govind Namdeo, Mukesh Rishi, Sushant Singh, Yashpal Sharma, Sheeba",India,1-Mar-18,2003,TV-14,162 min,"Action & Adventure, Dramas, International Movies"
s1894,Movie,Dumb and Dumberer: When Harry Met Lloyd,Troy Miller,"Eric Christian Olsen, Derek Richardson, Rachel Nichols, Cheri Oteri, Luis Guzmn, Elden Henson, William Lee Scott, Mimi Rogers, Eugene Levy",United States,1-Oct-19,2003,PG-13,85 min,Comedies
s1895,Movie,Dumplin',Anne Fletcher,"Danielle Macdonald, Jennifer Aniston, Odeya Rush, Maddie Baillio, Bex Taylor-Klaus, Luke Benward, Georgie Flores, Dove Cameron, Harold Perrineau, Kathy Najimy, Ginger Minj, Hilliary Begley",United States,7-Dec-18,2018,PG-13,110 min,"Comedies, Dramas, Independent Movies"
s1897,Movie,Duplicate,Mahesh Bhatt,"Shah Rukh Khan, Juhi Chawla, Sonali Bendre, Farida Jalal, Mohnish Bahl, Tiku Talsania, Gulshan Grover, Sharat Saxena",India,1-Apr-20,1998,TV-14,165 min,"Comedies, Dramas, International Movies"
s1899,Movie,Dushman,Shagufta Rafique,"Kartar Cheema, Jashan Singh, Sakshi Gulati, Gulshan Grover, Savita Bhatti, Yashpal Sharma, Mohit Sharma, Sukhwinder Sohi",N.I.L,1-Oct-18,2017,TV-14,141 min,"Dramas, International Movies"
s1902,Movie,E-Cigarettes: Miracle or Menace,Emma Hatherley,Michael Mosley,United Kingdom,1-Feb-19,2016,TV-14,52 min,Documentaries
s1904,Movie,Earth and Blood,Julien Leclercq,"Sami Bouajila, Eriq Ebouaney, Samy Seghir, Sofia Lesaffre","France, Belgium",17-Apr-20,2020,TV-MA,81 min,"Dramas, International Movies, Thrillers"
s1905,Movie,Earth to Echo,Dave Green,"Teo Halm, Astro, Reese Hartwig, Ella Wahlestedt, Jason Gray-Stanford, Algee Smith, Cassius Willis, Sonya Leslie, Kerry O'Malley, Virginia Louise Smith, Peter Mackenzie, Valerie Wildman",United States,1-Oct-19,2014,PG,91 min,"Children & Family Movies, Sci-Fi & Fantasy"
s1909,Movie,Earthquake Bird,Wash Westmoreland,"Alicia Vikander, Riley Keough, Naoki Kobayashi, Jack Huston, Kiki Sukezane, Yoshiko Sakuma, Ken Yamamura, Kazuhiro Muroyama, Akiko Iwase, Crystal Kay","United Kingdom, Japan, United States",15-Nov-19,2019,R,107 min,"Dramas, Romantic Movies"
s1910,Movie,East Side Sushi,Anthony Lucero,"Diana Elizabeth Torres, Yutaka Takeuchi, Rodrigo Duarte Clark, Kaya Jade Aguirre, Roji Oyama, Lane Nishikawa, Miyoko Sakatani",United States,15-Sep-20,2015,PG,106 min,Dramas
s1913,Movie,Easy A,Will Gluck,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd, Thomas Haden Church, Patricia Clarkson, Cam Gigandet, Lisa Kudrow, Malcolm McDowell, Aly Michalka",United States,1-Nov-20,2010,PG-13,92 min,"Comedies, Romantic Movies"
s1915,Movie,Eat Pray Love,Ryan Murphy,"Julia Roberts, James Franco, Javier Bardem, Richard Jenkins, Viola Davis, Billy Crudup, Hadi Subiyanto, Mike O'Malley, Tuva Novotny, Luca Argentero",United States,10-Sep-19,2010,PG-13,140 min,"Dramas, Romantic Movies"
